subid,counter,trialtype,percentage,sizeasked,searchtype,chosetarget,choselure,chosendistractor,targetshape,targetcolor,targetsize,targetword,distractorshape1,distractorshape2,distractorsize,date,timestamp,rtsearch,rttest,targetpos,foilpos,lurepos,chosenname,chosensize,attncheckscore
104,5,6,51,true,samesize,false,false,1,9,blue,big,blicket,13,5,small,2/20/2020,20:39,14935,3364,5,2,0,stim-images/object13bluebig.jpg,big,"0
"
104,6,0,51,true,attncheck,false,false,1,9,blue,big,blicket,13,5,small,2/20/2020,20:39,14935,3364,5,2,0,stim-images/object13bluebig.jpg,big,"7
"
14,1,2,53,true,contrast,false,true,1,6,red,big,toma,3,10,small,2/20/2020,20:42,21688,6947,5,6,4,stim-images/object3redbig.jpg,big,"0
"
14,2,5,12,false,samesize,true,false,0,21,green,big,blicket,4,15,small,2/20/2020,20:42,11403,6535,4,2,0,stim-images/object21greenbig.jpg,big,"0
"
14,3,6,54,true,samesize,false,false,1,12,purple,small,wug,20,8,big,2/20/2020,20:43,10995,5768,4,2,0,stim-images/object20purplesmall.jpg,small,"0
"
14,4,3,33,false,differentsizes,true,false,0,5,purple,big,sprock,13,2,small,2/20/2020,20:43,14991,4602,4,3,0,stim-images/object5purplebig.jpg,big,"0
"
14,5,4,50,true,differentsizes,true,false,0,9,red,small,gade,16,18,big,2/20/2020,20:43,9233,2063,5,3,0,stim-images/object9redsmall.jpg,small,"0
"
14,6,0,50,true,attncheck,true,false,0,9,red,small,gade,16,18,big,2/20/2020,20:43,9233,2063,5,3,0,stim-images/object9redsmall.jpg,small,"7
"
12,1,2,80,true,contrast,false,true,1,12,blue,small,blicket,1,2,big,2/20/2020,20:40,20308,26647,4,5,6,stim-images/object1bluesmall.jpg,small,"0
"
12,2,4,70,true,differentsizes,true,false,0,13,purple,big,gade,18,21,small,2/20/2020,20:40,10005,12717,6,3,0,stim-images/object13purplebig.jpg,big,"0
"
12,3,5,30,false,samesize,true,false,0,22,red,small,toma,11,23,big,2/20/2020,20:40,13630,9135,5,3,0,stim-images/object22redsmall.jpg,small,"0
"
12,4,6,20,true,samesize,false,false,2,14,blue,small,wug,3,16,big,2/20/2020,20:41,21591,15933,5,2,0,stim-images/object16bluesmall.jpg,small,"0
"
12,5,3,50,false,differentsizes,true,false,0,6,blue,big,sprock,19,17,small,2/20/2020,20:42,15735,13230,6,1,0,stim-images/object6bluebig.jpg,big,"0
"
12,6,0,50,false,attncheck,true,false,0,6,blue,big,sprock,19,17,small,2/20/2020,20:42,15735,13230,6,1,0,stim-images/object6bluebig.jpg,big,"7
"
