subid,counter,trialtype,percentage,sizeasked,searchtype,chosetarget,choselure,chosendistractor,targetshape,targetcolor,targetsize,targetword,distractorshape1,distractorshape2,distractorsize,date,timestamp,rtsearch,rttest,targetpos,foilpos,lurepos,chosenname,chosensize,attncheckscore
34,4,2,50,true,contrast,false,true,1,15,purple,small,wug,24,17,big,2/20/2020,19:40,16387,5714,6,5,4,stim-images/object24purplesmall.jpg,small,"0
"
34,5,3,50,false,differentsizes,false,false,1,6,blue,small,toma,16,2,big,2/20/2020,19:41,20452,4248,5,1,0,stim-images/object16bluebig.jpg,big,"0
"
34,6,0,50,false,attncheck,false,false,1,6,blue,small,toma,16,2,big,2/20/2020,19:41,20452,4248,5,1,0,stim-images/object16bluebig.jpg,big,"7
"
178,1,5,66,false,samesize,false,false,2,5,green,big,toma,4,12,small,2/20/2020,20:51,24947,13413,4,3,0,stim-images/object12greenbig.jpg,big,"0
"
178,2,4,34,true,differentsizes,false,false,1,23,green,small,sprock,2,9,big,2/20/2020,20:51,21729,9848,6,1,0,stim-images/object2greenbig.jpg,big,"0
"
178,3,2,18,true,contrast,true,false,0,22,green,big,blicket,6,10,small,2/20/2020,20:52,11795,9066,5,4,6,stim-images/object22greenbig.jpg,big,"0
"
178,4,3,43,false,differentsizes,true,false,0,3,purple,small,wug,15,16,big,2/20/2020,20:52,10684,6197,4,1,0,stim-images/object3purplesmall.jpg,small,"0
"
178,5,6,27,true,samesize,false,false,1,20,red,big,gade,19,21,small,2/20/2020,20:52,11110,8161,6,1,0,stim-images/object19redbig.jpg,big,"0
"
178,6,0,27,true,attncheck,false,false,1,20,red,big,gade,19,21,small,2/20/2020,20:52,11110,8161,6,1,0,stim-images/object19redbig.jpg,big,"7
"
101,1,2,83,true,contrast,true,false,0,11,red,small,sprock,3,2,big,2/20/2020,20:46,13839,8711,6,5,4,stim-images/object11redsmall.jpg,small,"0
"
101,2,5,82,false,samesize,false,false,2,4,purple,small,blicket,6,22,big,2/20/2020,20:46,15323,3362,6,3,0,stim-images/emptyimage.jpg,small,"0
"
101,3,6,91,true,samesize,false,false,1,14,green,big,wug,23,20,small,2/20/2020,20:46,12773,3400,5,2,0,stim-images/emptyimage.jpg,big,"0
"
101,4,3,70,false,differentsizes,true,false,0,19,red,small,toma,21,7,big,2/20/2020,20:46,11473,4249,5,3,0,stim-images/object19redsmall.jpg,small,"0
"
101,5,4,52,true,differentsizes,true,false,0,12,green,big,gade,5,17,small,2/20/2020,20:47,9254,5617,5,1,0,stim-images/object12greenbig.jpg,big,"0
"
101,6,0,52,true,attncheck,true,false,0,12,green,big,gade,5,17,small,2/20/2020,20:47,9254,5617,5,1,0,stim-images/object12greenbig.jpg,big,"5
"
31,1,4,35,true,differentsizes,true,false,0,18,red,big,wug,23,20,small,2/20/2020,19:55,21968,16341,5,3,0,stim-images/object18redbig.jpg,big,"0
"
31,2,3,27,false,differentsizes,true,false,0,11,green,small,blicket,13,12,big,2/20/2020,19:56,17760,9551,5,1,0,stim-images/object11greensmall.jpg,small,"0
"
31,3,5,41,false,samesize,false,false,2,8,purple,big,toma,5,7,small,2/20/2020,19:56,16886,10918,6,3,0,stim-images/object7purplebig.jpg,big,"0
"
31,4,2,61,true,contrast,false,true,1,17,green,big,gade,22,16,small,2/20/2020,19:57,25143,6638,5,6,4,stim-images/object22greenbig.jpg,big,"0
"
31,5,6,28,true,samesize,true,false,0,4,green,small,sprock,10,19,big,2/20/2020,19:58,33323,4188,6,1,0,stim-images/object4greensmall.jpg,small,"0
"
31,6,0,28,true,attncheck,true,false,0,4,green,small,sprock,10,19,big,2/20/2020,19:58,33323,4188,6,1,0,stim-images/object4greensmall.jpg,small,"7
"
16,1,6,50,true,samesize,false,false,1,2,green,big,wug,11,10,small,2/20/2020,20:33,14357,14224,6,3,0,stim-images/object11greenbig.jpg,big,"0
"
16,2,4,49,true,differentsizes,true,false,0,21,red,small,blicket,14,18,big,2/20/2020,20:33,10845,3469,4,1,0,stim-images/object21redsmall.jpg,small,"0
"
16,3,5,42,false,samesize,true,false,0,1,blue,small,toma,20,23,big,2/20/2020,20:33,9957,2418,5,1,0,stim-images/object1bluesmall.jpg,small,"0
"
16,4,3,38,false,differentsizes,true,false,0,4,blue,big,sprock,7,22,small,2/20/2020,20:34,12539,3050,6,2,0,stim-images/object4bluebig.jpg,big,"0
"
16,5,2,46,true,contrast,true,false,0,13,purple,big,gade,15,6,small,2/20/2020,20:34,9402,2744,6,4,5,stim-images/object13purplebig.jpg,big,"0
"
16,6,0,46,true,attncheck,true,false,0,13,purple,big,gade,15,6,small,2/20/2020,20:34,9402,2744,6,4,5,stim-images/object13purplebig.jpg,big,"7
"
139,1,6,10,true,samesize,false,false,1,8,purple,small,gade,3,9,big,2/20/2020,17:37,19335,13264,6,1,0,stim-images/object3purplesmall.jpg,small,"0
"
139,2,2,75,true,contrast,true,false,0,4,purple,big,toma,2,21,small,2/20/2020,17:37,11018,4894,6,5,4,stim-images/object4purplebig.jpg,big,"0
"
139,3,5,70,false,samesize,true,false,0,15,purple,big,wug,11,24,small,2/20/2020,17:38,11252,11641,6,1,0,stim-images/object15purplebig.jpg,big,"0
"
139,4,4,85,true,differentsizes,true,false,0,1,green,big,blicket,16,12,small,2/20/2020,17:38,14183,5329,6,3,0,stim-images/object1greenbig.jpg,big,"0
"
139,5,3,70,false,differentsizes,true,false,0,14,green,small,sprock,13,19,big,2/20/2020,17:38,9717,3933,4,3,0,stim-images/object14greensmall.jpg,small,"0
"
139,6,0,70,false,attncheck,true,false,0,14,green,small,sprock,13,19,big,2/20/2020,17:38,9717,3933,4,3,0,stim-images/object14greensmall.jpg,small,"5
"
10,1,2,30,true,contrast,true,false,0,12,purple,small,blicket,18,14,big,2/20/2020,17:38,22803,18672,5,6,4,stim-images/object12purplesmall.jpg,small,"0
"
10,2,4,70,true,differentsizes,true,false,0,15,green,big,toma,9,6,small,2/20/2020,17:38,14553,15839,5,1,0,stim-images/object15greenbig.jpg,big,"0
"
10,3,6,33,true,samesize,false,false,1,16,green,big,wug,19,2,small,2/20/2020,17:39,20549,7231,5,3,0,stim-images/object19greenbig.jpg,big,"0
"
10,4,5,100,false,samesize,false,false,2,11,blue,big,gade,1,8,small,2/20/2020,17:39,11515,5852,6,2,0,stim-images/object8bluebig.jpg,big,"0
"
10,5,3,80,false,differentsizes,true,false,0,23,purple,big,sprock,17,22,small,2/20/2020,17:40,25671,5142,6,3,0,stim-images/object23purplebig.jpg,big,"0
"
10,6,0,80,false,attncheck,true,false,0,23,purple,big,sprock,17,22,small,2/20/2020,17:40,25671,5142,6,3,0,stim-images/object23purplebig.jpg,big,"6
"
175,1,2,64,true,contrast,false,false,1,19,green,small,wug,24,22,big,2/20/2020,19:37,13491,6043,6,4,5,stim-images/object19greenbig.jpg,big,"0
"
175,2,3,10,false,differentsizes,true,false,0,8,green,small,gade,3,16,big,2/20/2020,19:38,8270,9305,4,1,0,stim-images/object8greensmall.jpg,small,"0
"
175,3,4,82,true,differentsizes,true,false,0,20,green,big,blicket,9,14,small,2/20/2020,19:38,14186,3115,4,3,0,stim-images/object20greenbig.jpg,big,"0
"
175,4,6,34,true,samesize,false,false,2,11,blue,big,sprock,17,5,small,2/20/2020,19:38,8227,3266,4,2,0,stim-images/object5bluebig.jpg,big,"0
"
175,5,5,71,false,samesize,true,false,0,6,red,big,toma,15,23,small,2/20/2020,19:38,8200,2020,4,1,0,stim-images/object6redbig.jpg,big,"0
"
175,6,0,71,false,attncheck,true,false,0,6,red,big,toma,15,23,small,2/20/2020,19:38,8200,2020,4,1,0,stim-images/object6redbig.jpg,big,"6
"
29,1,6,38,true,samesize,true,false,0,6,green,small,blicket,9,23,big,2/20/2020,20:55,12645,7187,4,1,0,stim-images/object6greensmall.jpg,small,"0
"
29,2,2,57,true,contrast,false,true,1,19,blue,small,sprock,7,14,big,2/20/2020,20:56,10704,5114,6,4,5,stim-images/object7bluesmall.jpg,small,"0
"
29,3,3,65,false,differentsizes,true,false,0,3,blue,big,wug,22,21,small,2/20/2020,20:56,9345,3729,4,1,0,stim-images/object3bluebig.jpg,big,"0
"
29,4,4,54,true,differentsizes,true,false,0,10,blue,small,toma,4,16,big,2/20/2020,20:56,18777,3275,6,3,0,stim-images/object10bluesmall.jpg,small,"0
"
29,5,5,37,false,samesize,false,false,2,12,blue,big,gade,1,17,small,2/20/2020,20:56,9243,2915,6,1,0,stim-images/object17bluebig.jpg,big,"0
"
29,6,0,37,false,attncheck,false,false,2,12,blue,big,gade,1,17,small,2/20/2020,20:56,9243,2915,6,1,0,stim-images/object17bluebig.jpg,big,"7
"
25,1,3,85,false,differentsizes,false,false,1,8,green,small,sprock,22,13,big,2/20/2020,17:43,21376,13617,6,3,0,stim-images/object22greenbig.jpg,big,"0
"
25,2,6,81,true,samesize,false,false,1,17,red,small,wug,6,23,big,2/20/2020,17:44,32467,6812,6,2,0,stim-images/object6redsmall.jpg,small,"0
"
25,3,2,91,true,contrast,false,true,1,18,blue,small,toma,12,7,big,2/20/2020,17:45,19358,4783,5,6,4,stim-images/object12bluesmall.jpg,small,"0
"
25,4,5,100,false,samesize,true,false,2,14,red,big,gade,20,5,small,2/20/2020,17:45,11239,5372,6,2,0,stim-images/object14redbig.jpg,big,"0
"
25,5,4,89,true,differentsizes,true,false,1,9,purple,big,blicket,11,16,small,2/20/2020,17:45,11215,7096,5,2,0,stim-images/object9purplebig.jpg,big,"0
"
25,6,0,89,true,attncheck,true,false,1,9,purple,big,blicket,11,16,small,2/20/2020,17:45,11215,7096,5,2,0,stim-images/object9purplebig.jpg,big,"2
"
57,1,5,83,false,samesize,false,false,2,16,red,small,toma,19,5,big,2/20/2020,21:08,26047,26795,6,1,0,stim-images/object5redsmall.jpg,small,"0
"
57,2,3,41,false,differentsizes,true,false,0,11,green,big,sprock,2,6,small,2/20/2020,21:09,23039,6766,4,3,0,stim-images/object11greenbig.jpg,big,"0
"
57,3,6,59,true,samesize,false,false,2,7,red,small,wug,13,12,big,2/20/2020,21:09,14268,7496,6,3,0,stim-images/object12redsmall.jpg,small,"0
"
57,4,4,49,true,differentsizes,true,false,0,14,blue,big,gade,4,3,small,2/20/2020,21:10,15869,8043,5,1,0,stim-images/object14bluebig.jpg,big,"0
"
57,5,2,42,true,contrast,false,true,1,15,red,small,blicket,23,10,big,2/20/2020,21:10,12677,4172,5,6,4,stim-images/object23redsmall.jpg,small,"0
"
57,6,0,42,true,attncheck,false,true,1,15,red,small,blicket,23,10,big,2/20/2020,21:10,12677,4172,5,6,4,stim-images/object23redsmall.jpg,small,"7
"
134,1,4,61,true,differentsizes,true,false,0,8,red,big,toma,2,23,small,2/20/2020,19:57,18928,4827,5,1,0,stim-images/object8redbig.jpg,big,"0
"
134,2,5,77,false,samesize,true,false,0,20,green,small,gade,24,19,big,2/20/2020,19:57,9239,2412,4,3,0,stim-images/object20greensmall.jpg,small,"0
"
134,3,2,56,true,contrast,true,false,0,4,blue,big,blicket,17,10,small,2/20/2020,19:58,11762,3816,5,6,4,stim-images/object4bluebig.jpg,big,"0
"
134,4,6,73,true,samesize,false,false,2,22,blue,small,wug,13,15,big,2/20/2020,19:58,11553,3447,5,3,0,stim-images/object15bluesmall.jpg,small,"0
"
134,5,3,53,false,differentsizes,true,false,0,7,green,small,sprock,18,6,big,2/20/2020,19:58,11736,2856,5,1,0,stim-images/object7greensmall.jpg,small,"0
"
134,6,0,53,false,attncheck,true,false,0,7,green,small,sprock,18,6,big,2/20/2020,19:58,11736,2856,5,1,0,stim-images/object7greensmall.jpg,small,"7
"
132,1,6,48,true,samesize,false,false,2,4,purple,small,wug,20,2,big,2/20/2020,19:37,18826,14893,4,3,0,stim-images/object2purplesmall.jpg,small,"0
"
132,2,2,67,true,contrast,false,true,1,23,green,small,blicket,15,13,big,2/20/2020,19:38,16538,8178,4,5,6,stim-images/object15greensmall.jpg,small,"0
"
132,3,4,52,true,differentsizes,true,false,0,5,green,big,toma,18,8,small,2/20/2020,19:38,12510,3274,6,3,0,stim-images/object5greenbig.jpg,big,"0
"
132,4,5,32,false,samesize,false,false,1,14,blue,big,gade,10,24,small,2/20/2020,19:38,12131,5744,5,1,0,stim-images/object10bluebig.jpg,big,"0
"
132,5,3,61,false,differentsizes,true,false,0,19,red,big,sprock,21,6,small,2/20/2020,19:39,9475,5584,6,3,0,stim-images/object19redbig.jpg,big,"0
"
132,6,0,61,false,attncheck,true,false,0,19,red,big,sprock,21,6,small,2/20/2020,19:39,9475,5584,6,3,0,stim-images/object19redbig.jpg,big,"8
"
43,1,2,40,true,contrast,false,true,1,8,purple,small,wug,4,22,big,2/20/2020,20:38,30226,25510,5,6,4,stim-images/object4purplesmall.jpg,small,"0
"
43,2,4,0,true,differentsizes,true,false,0,20,blue,big,toma,9,12,small,2/20/2020,20:39,19479,17514,4,1,0,stim-images/object20bluebig.jpg,big,"0
"
43,3,3,0,false,differentsizes,true,false,0,18,blue,small,gade,24,16,big,2/20/2020,20:39,19678,13168,5,2,0,stim-images/object18bluesmall.jpg,small,"0
"
43,4,5,0,false,samesize,true,false,0,17,purple,big,blicket,11,10,small,2/20/2020,20:40,18726,10776,6,2,0,stim-images/object17purplebig.jpg,big,"0
"
43,5,6,0,true,samesize,false,false,1,13,blue,big,sprock,5,19,small,2/20/2020,20:40,14774,9591,6,1,0,stim-images/object5bluebig.jpg,big,"0
"
43,6,0,0,true,attncheck,false,false,1,13,blue,big,sprock,5,19,small,2/20/2020,20:40,14774,9591,6,1,0,stim-images/object5bluebig.jpg,big,"8
"
61,1,2,19,true,contrast,true,false,0,19,red,big,gade,9,13,small,2/20/2020,19:37,20295,16884,5,4,6,stim-images/object19redbig.jpg,big,"0
"
61,2,3,8,false,differentsizes,true,false,0,6,green,big,blicket,17,7,small,2/20/2020,19:38,14443,4738,4,2,0,stim-images/object6greenbig.jpg,big,"0
"
61,3,4,63,true,differentsizes,true,false,0,12,purple,big,toma,23,18,small,2/20/2020,19:38,8797,3461,4,1,0,stim-images/object12purplebig.jpg,big,"0
"
61,4,5,24,false,samesize,false,false,1,1,purple,big,sprock,20,3,small,2/20/2020,19:38,9369,6196,6,3,0,stim-images/object20purplebig.jpg,big,"0
"
61,5,6,28,true,samesize,false,false,1,16,purple,big,wug,22,24,small,2/20/2020,19:38,12147,3446,6,1,0,stim-images/object22purplebig.jpg,big,"0
"
61,6,0,28,true,attncheck,false,false,1,16,purple,big,wug,22,24,small,2/20/2020,19:38,12147,3446,6,1,0,stim-images/object22purplebig.jpg,big,"5
"
165,1,2,34,true,contrast,false,true,1,21,green,small,gade,5,6,big,2/20/2020,20:37,17451,12474,6,5,4,stim-images/object5greensmall.jpg,small,"0
"
165,2,6,72,true,samesize,false,false,2,2,red,small,sprock,3,15,big,2/20/2020,20:38,23961,4684,4,3,0,stim-images/object15redsmall.jpg,small,"0
"
165,3,5,45,false,samesize,false,false,2,19,green,small,toma,24,23,big,2/20/2020,20:38,14681,3976,5,1,0,stim-images/object23greensmall.jpg,small,"0
"
165,4,4,49,true,differentsizes,true,false,0,10,red,big,wug,1,9,small,2/20/2020,20:38,9364,4038,5,1,0,stim-images/object10redbig.jpg,big,"0
"
165,5,3,33,false,differentsizes,false,false,1,11,red,big,blicket,4,20,small,2/20/2020,20:39,16152,3193,5,3,0,stim-images/object4redsmall.jpg,small,"0
"
165,6,0,33,false,attncheck,false,false,1,11,red,big,blicket,4,20,small,2/20/2020,20:39,16152,3193,5,3,0,stim-images/object4redsmall.jpg,small,"8
"
49,1,2,67,true,contrast,true,false,0,1,purple,big,toma,12,21,small,2/20/2020,20:38,21425,11140,6,4,5,stim-images/object1purplebig.jpg,big,"0
"
49,2,3,25,false,differentsizes,true,false,0,2,blue,small,wug,13,22,big,2/20/2020,20:38,13813,5162,5,2,0,stim-images/object2bluesmall.jpg,small,"0
"
49,3,5,18,false,samesize,false,false,2,18,red,small,gade,24,16,big,2/20/2020,20:39,14413,5009,4,2,0,stim-images/object16redsmall.jpg,small,"0
"
49,4,4,46,true,differentsizes,false,false,1,7,blue,big,sprock,15,9,small,2/20/2020,20:39,11095,4239,6,1,0,stim-images/object15bluesmall.jpg,small,"0
"
49,5,6,40,true,samesize,false,false,1,20,blue,small,blicket,8,6,big,2/20/2020,20:39,14744,3537,5,3,0,stim-images/object8bluesmall.jpg,small,"0
"
49,6,0,40,true,attncheck,false,false,1,20,blue,small,blicket,8,6,big,2/20/2020,20:39,14744,3537,5,3,0,stim-images/object8bluesmall.jpg,small,"8
"
87,1,3,27,false,differentsizes,true,false,0,22,blue,small,sprock,10,21,big,2/20/2020,20:53,16389,10286,4,2,0,stim-images/object22bluesmall.jpg,small,"0
"
87,2,6,65,true,samesize,true,false,0,5,purple,big,blicket,9,1,small,2/20/2020,20:53,14729,6808,5,2,0,stim-images/object5purplebig.jpg,big,"0
"
87,3,4,32,true,differentsizes,true,false,0,2,red,big,gade,19,24,small,2/20/2020,20:54,18659,7593,6,2,0,stim-images/object2redbig.jpg,big,"0
"
87,4,2,46,true,contrast,false,true,1,16,green,small,toma,23,12,big,2/20/2020,20:54,11451,6276,6,5,4,stim-images/object23greensmall.jpg,small,"0
"
87,5,5,75,false,samesize,false,false,1,3,blue,big,wug,6,14,small,2/20/2020,20:54,10697,4780,6,1,0,stim-images/object6bluebig.jpg,big,"0
"
87,6,0,75,false,attncheck,false,false,1,3,blue,big,wug,6,14,small,2/20/2020,20:54,10697,4780,6,1,0,stim-images/object6bluebig.jpg,big,"6
"
147,1,2,65,true,contrast,false,true,1,2,blue,big,wug,1,3,small,2/20/2020,19:37,20792,14554,4,5,6,stim-images/object1bluebig.jpg,big,"0
"
147,2,5,42,false,samesize,false,false,1,17,green,small,sprock,8,12,big,2/20/2020,19:37,16856,5571,5,2,0,stim-images/object8greensmall.jpg,small,"0
"
147,3,4,19,true,differentsizes,true,false,0,24,purple,big,gade,6,20,small,2/20/2020,19:37,13409,8448,5,2,0,stim-images/object24purplebig.jpg,big,"0
"
147,4,6,57,true,samesize,true,false,0,18,red,small,blicket,15,19,big,2/20/2020,19:38,12361,4849,5,1,0,stim-images/object18redsmall.jpg,small,"0
"
147,5,3,51,false,differentsizes,true,false,0,5,green,big,toma,16,9,small,2/20/2020,19:38,8991,6570,5,3,0,stim-images/object5greenbig.jpg,big,"0
"
147,6,0,51,false,attncheck,true,false,0,5,green,big,toma,16,9,small,2/20/2020,19:38,8991,6570,5,3,0,stim-images/object5greenbig.jpg,big,"8
"
37,1,5,20,false,samesize,true,false,0,18,blue,small,wug,6,15,big,2/20/2020,19:37,23412,8884,5,3,0,stim-images/object18bluesmall.jpg,small,"0
"
37,2,3,10,false,differentsizes,true,false,0,1,purple,big,gade,5,11,small,2/20/2020,19:38,19706,5403,4,2,0,stim-images/object1purplebig.jpg,big,"0
"
37,3,6,25,true,samesize,false,false,1,3,blue,small,blicket,4,21,big,2/20/2020,19:38,12069,4949,5,3,0,stim-images/object4bluesmall.jpg,small,"0
"
37,4,4,30,true,differentsizes,true,false,0,24,green,big,sprock,19,22,small,2/20/2020,19:38,10866,4623,4,2,0,stim-images/object24greenbig.jpg,big,"0
"
37,5,2,40,true,contrast,false,true,1,10,blue,small,toma,12,8,big,2/20/2020,19:39,12416,3829,4,5,6,stim-images/object12bluesmall.jpg,small,"0
"
37,6,0,40,true,attncheck,false,true,1,10,blue,small,toma,12,8,big,2/20/2020,19:39,12416,3829,4,5,6,stim-images/object12bluesmall.jpg,small,"8
"
93,1,6,21,true,samesize,false,false,1,20,blue,big,toma,24,22,small,2/20/2020,20:37,17683,9205,5,1,0,stim-images/object24bluebig.jpg,big,"0
"
93,2,2,35,true,contrast,false,true,1,11,purple,big,blicket,1,23,small,2/20/2020,20:38,13012,4231,4,5,6,stim-images/object1purplebig.jpg,big,"0
"
93,3,5,15,false,samesize,false,false,1,9,red,small,gade,15,17,big,2/20/2020,20:38,12928,7824,5,1,0,stim-images/object15redsmall.jpg,small,"0
"
93,4,4,50,true,differentsizes,true,false,0,5,purple,small,wug,13,19,big,2/20/2020,20:38,11533,3654,4,3,0,stim-images/object5purplesmall.jpg,small,"0
"
93,5,3,33,false,differentsizes,false,false,1,6,green,big,sprock,16,21,small,2/20/2020,20:39,11061,2918,6,1,0,stim-images/object16greensmall.jpg,small,"0
"
93,6,0,33,false,attncheck,false,false,1,6,green,big,sprock,16,21,small,2/20/2020,20:39,11061,2918,6,1,0,stim-images/object16greensmall.jpg,small,"8
"
186,1,6,67,true,samesize,false,false,2,19,red,big,toma,18,4,small,2/20/2020,20:38,23419,9370,6,2,0,stim-images/object4redbig.jpg,big,"0
"
186,2,4,50,true,differentsizes,true,false,0,9,red,big,sprock,21,16,small,2/20/2020,20:38,14556,3112,6,3,0,stim-images/object9redbig.jpg,big,"0
"
186,3,3,51,false,differentsizes,true,false,0,20,purple,big,gade,13,17,small,2/20/2020,20:38,9367,2741,5,1,0,stim-images/object20purplebig.jpg,big,"0
"
186,4,2,45,true,contrast,false,true,1,10,red,big,blicket,1,3,small,2/20/2020,20:38,8977,2111,6,5,4,stim-images/object1redbig.jpg,big,"0
"
186,5,5,49,false,samesize,false,false,2,11,blue,small,wug,5,24,big,2/20/2020,20:39,9957,2408,5,1,0,stim-images/object24bluesmall.jpg,small,"0
"
186,6,0,49,false,attncheck,false,false,2,11,blue,small,wug,5,24,big,2/20/2020,20:39,9957,2408,5,1,0,stim-images/object24bluesmall.jpg,small,"6
"
47,1,4,29,true,differentsizes,true,false,0,14,purple,big,gade,6,24,small,2/20/2020,20:09,24207,14156,6,2,0,stim-images/object14purplebig.jpg,big,"0
"
47,2,5,20,false,samesize,false,false,2,13,green,small,blicket,7,22,big,2/20/2020,20:10,19000,9290,4,1,0,stim-images/object22greensmall.jpg,small,"0
"
47,3,2,15,true,contrast,true,false,0,11,purple,small,sprock,19,8,big,2/20/2020,20:10,13108,5701,6,4,5,stim-images/object11purplesmall.jpg,small,"0
"
47,4,3,85,false,differentsizes,true,false,0,16,purple,small,wug,23,9,big,2/20/2020,20:11,17017,9443,5,2,0,stim-images/object16purplesmall.jpg,small,"0
"
47,5,6,70,true,samesize,false,false,2,4,purple,big,toma,5,12,small,2/20/2020,20:11,16366,5630,5,3,0,stim-images/object12purplebig.jpg,big,"0
"
47,6,0,70,true,attncheck,false,false,2,4,purple,big,toma,5,12,small,2/20/2020,20:11,16366,5630,5,3,0,stim-images/object12purplebig.jpg,big,"7
"
172,1,6,40,true,samesize,true,false,0,13,blue,big,toma,9,15,small,2/20/2020,18:38,23468,10066,5,2,0,stim-images/object13bluebig.jpg,big,"0
"
172,2,3,25,false,differentsizes,true,false,0,1,blue,small,sprock,8,7,big,2/20/2020,18:39,20657,16857,6,2,0,stim-images/object1bluesmall.jpg,small,"0
"
172,3,2,46,true,contrast,true,false,0,22,green,small,blicket,5,12,big,2/20/2020,18:39,9980,5354,6,5,4,stim-images/object22greensmall.jpg,small,"0
"
172,4,5,38,false,samesize,false,false,2,23,red,small,gade,4,16,big,2/20/2020,18:39,15654,4613,6,3,0,stim-images/object16redsmall.jpg,small,"0
"
172,5,4,37,true,differentsizes,true,false,0,2,blue,small,wug,19,17,big,2/20/2020,18:40,13879,38221,4,3,0,stim-images/object2bluesmall.jpg,small,"0
"
172,6,0,37,true,attncheck,true,false,0,2,blue,small,wug,19,17,big,2/20/2020,18:40,13879,38221,4,3,0,stim-images/object2bluesmall.jpg,small,"6
"
174,1,3,44,false,differentsizes,false,false,1,5,red,small,sprock,6,16,big,2/20/2020,20:38,27772,16729,5,3,0,stim-images/object6redbig.jpg,big,"0
"
174,2,5,37,false,samesize,true,false,0,12,green,small,gade,20,23,big,2/20/2020,20:38,21578,7186,6,1,0,stim-images/object12greensmall.jpg,small,"0
"
174,3,4,18,true,differentsizes,true,false,0,15,green,small,toma,11,2,big,2/20/2020,20:39,10518,8114,5,2,0,stim-images/object15greensmall.jpg,small,"0
"
174,4,6,41,true,samesize,false,false,1,7,green,big,wug,22,21,small,2/20/2020,20:39,10592,4928,5,2,0,stim-images/object22greenbig.jpg,big,"0
"
174,5,2,49,true,contrast,true,false,0,24,purple,small,blicket,8,14,big,2/20/2020,20:39,12326,4819,4,5,6,stim-images/object24purplesmall.jpg,small,"0
"
174,6,0,49,true,attncheck,true,false,0,24,purple,small,blicket,8,14,big,2/20/2020,20:39,12326,4819,4,5,6,stim-images/object24purplesmall.jpg,small,"8
"
109,1,6,34,true,samesize,false,false,1,15,green,small,wug,24,22,big,2/20/2020,19:36,17149,7068,6,2,0,stim-images/object24greensmall.jpg,small,"0
"
109,2,3,54,false,differentsizes,true,false,0,19,red,small,toma,12,5,big,2/20/2020,19:37,17123,7211,6,1,0,stim-images/object19redsmall.jpg,small,"0
"
109,3,4,51,true,differentsizes,true,false,0,11,blue,small,sprock,14,23,big,2/20/2020,19:37,11363,8683,4,1,0,stim-images/object11bluesmall.jpg,small,"0
"
109,4,5,25,false,samesize,true,false,0,21,purple,big,gade,6,10,small,2/20/2020,19:37,15773,6357,6,3,0,stim-images/object21purplebig.jpg,big,"0
"
109,5,2,66,true,contrast,true,false,0,16,red,small,blicket,18,3,big,2/20/2020,19:38,10563,3181,6,5,4,stim-images/object16redsmall.jpg,small,"0
"
109,6,0,66,true,attncheck,true,false,0,16,red,small,blicket,18,3,big,2/20/2020,19:38,10563,3181,6,5,4,stim-images/object16redsmall.jpg,small,"7
"
191,1,3,68,false,differentsizes,true,false,0,5,blue,small,wug,16,6,big,2/20/2020,19:36,19846,7745,4,1,0,stim-images/object5bluesmall.jpg,small,"0
"
191,2,6,57,true,samesize,true,false,0,24,blue,big,toma,13,17,small,2/20/2020,19:36,15241,5750,5,1,0,stim-images/object24bluebig.jpg,big,"0
"
191,3,5,74,false,samesize,false,false,1,21,red,small,blicket,2,20,big,2/20/2020,19:37,11133,4096,5,1,0,stim-images/object2redsmall.jpg,small,"0
"
191,4,4,59,true,differentsizes,true,false,0,3,green,big,sprock,1,9,small,2/20/2020,19:37,10803,5636,6,1,0,stim-images/object3greenbig.jpg,big,"0
"
191,5,2,21,true,contrast,true,false,0,14,green,small,gade,11,8,big,2/20/2020,19:38,14056,23252,5,6,4,stim-images/object14greensmall.jpg,small,"0
"
191,6,0,21,true,attncheck,true,false,0,14,green,small,gade,11,8,big,2/20/2020,19:38,14056,23252,5,6,4,stim-images/object14greensmall.jpg,small,"5
"
19,1,2,15,true,contrast,false,true,1,24,green,small,sprock,3,5,big,2/20/2020,17:38,20235,30780,6,5,4,stim-images/object3greensmall.jpg,small,"0
"
19,2,5,36,false,samesize,false,false,1,10,blue,small,wug,4,8,big,2/20/2020,17:39,53417,11435,6,2,0,stim-images/object4bluesmall.jpg,small,"0
"
19,3,6,15,true,samesize,false,false,1,1,purple,small,toma,19,22,big,2/20/2020,17:39,17728,24028,4,2,0,stim-images/object19purplesmall.jpg,small,"0
"
19,4,3,47,false,differentsizes,true,false,0,11,red,big,blicket,23,15,small,2/20/2020,17:41,48989,34286,6,1,0,stim-images/object11redbig.jpg,big,"0
"
19,5,4,62,true,differentsizes,true,false,0,18,purple,big,gade,7,2,small,2/20/2020,17:42,74375,5608,5,2,0,stim-images/object18purplebig.jpg,big,"0
"
19,6,0,62,true,attncheck,true,false,0,18,purple,big,gade,7,2,small,2/20/2020,17:42,74375,5608,5,2,0,stim-images/object18purplebig.jpg,big,"2
"
196,1,3,19,false,differentsizes,true,false,0,21,red,big,gade,8,3,small,2/20/2020,20:55,23998,7837,6,1,0,stim-images/object21redbig.jpg,big,"0
"
196,2,4,18,true,differentsizes,true,false,0,15,red,big,sprock,11,6,small,2/20/2020,20:56,11988,4498,4,1,0,stim-images/object15redbig.jpg,big,"0
"
